,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
2321,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,it Serie A,32,1987,36.0,3,0.08,0,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2322,Ibrahima Sissoko\Ibrahima-Sissoko,fr FRA,MF,Strasbourg,fr Ligue 1,21,1997,17.8,30,1.69,24,1,3,1,1,1,0.06,1,0,0,0,0,0,Matches
2323,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,eng Premier League,29,1989,27.2,27,0.99,26,0,1,0,0,2,0.07,2,0,0,0,0,0,Matches
2324,Sambou Sissoko\Sambou-Sissoko,fr FRA,MFFW,Reims,fr Ligue 1,20,1999,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2325,Pione Sisto\Pione-Sisto,dk DEN,FWMF,Celta Vigo,es La Liga,24,1995,9.9,28,2.83,18,2,4,0,4,2,0.20,1,1,0,0,0,0,Matches
2326,Antonio Sivera\Antonio-Sivera,es ESP,GK,Alavés,es La Liga,22,1996,3.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2327,Ellyes Skhiri\Ellyes-Skhiri,tn TUN,MF,Köln,de Bundesliga,24,1995,29.7,49,1.65,40,1,2,4,2,8,0.27,4,0,1,2,1,0,Matches
2328,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,eng Premier League,18,2000,0.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2329,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,it Serie A,28,1991,36.0,5,0.14,5,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
2330,Andreas Skov Olsen\Andreas-Skov-Olsen,dk DEN,FWMF,Bologna,it Serie A,19,1999,8.3,20,2.41,12,3,1,2,2,3,0.36,2,0,0,1,0,0,Matches
2331,Robert Skov\Robert-Skov,dk DEN,DFFW,Hoffenheim,de Bundesliga,23,1996,29.0,88,3.04,38,32,7,7,4,11,0.38,5,2,1,3,0,0,Matches
2332,Simon Skrabb\Simon-Skrabb,fi FIN,MFFW,Brescia,it Serie A,24,1995,2.9,4,1.40,3,0,1,0,0,1,0.35,1,0,0,0,0,0,Matches
2333,Milan Škriniar\Milan-Skriniar,sk SVK,DF,Inter,it Serie A,24,1995,29.0,24,0.83,20,0,1,2,1,2,0.07,0,0,0,1,1,0,Matches
2334,Steven Skrzybski\Steven-Skrzybski,de GER,FWMF,Düsseldorf,de Bundesliga,26,1992,5.9,11,1.87,8,0,2,0,1,2,0.34,2,0,0,0,0,0,Matches
2335,Petar Škuletić\Petar-Skuletic,rs SRB,FW,Montpellier,fr Ligue 1,29,1990,1.2,2,1.70,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
2336,Islam Slimani\Islam-Slimani,dz ALG,FW,Monaco,fr Ligue 1,31,1988,14.3,52,3.64,42,0,5,4,1,12,0.84,8,0,3,1,0,0,Matches
2337,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,eng Premier League,19,2000,4.4,4,0.92,4,0,0,0,0,2,0.46,2,0,0,0,0,0,Matches
2338,Chris Smalling\Chris-Smalling,eng ENG,DF,Roma,it Serie A,29,1989,27.5,23,0.87,21,0,0,1,1,4,0.15,3,0,0,1,0,0,Matches
2339,Dennis Smarsch\Dennis-Smarsch,de GER,GK,Hertha BSC,de Bundesliga,20,1999,1.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2340,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,eng Premier League,28,1991,22.8,20,0.88,17,0,1,0,2,1,0.04,1,0,0,0,0,0,Matches
2341,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,eng Premier League,19,2000,1.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2342,Fyodor Smolov\Fyodor-Smolov,ru RUS,FW,Celta Vigo,es La Liga,29,1990,8.3,12,1.45,11,0,1,0,0,1,0.12,1,0,0,0,0,0,Matches
2343,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,eng Premier League,31,1987,16.8,51,3.04,19,24,3,1,4,7,0.42,3,4,0,0,0,0,Matches
2344,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,eng Premier League,27,1991,2.8,3,1.08,2,1,0,0,0,1,0.36,1,0,0,0,0,0,Matches
2345,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,eng Premier League,27,1991,14.5,23,1.58,21,2,0,0,0,2,0.14,1,1,0,0,0,0,Matches
2346,Rafa Soares\Rafa-Soares,pt POR,DFMF,Eibar,es La Liga,24,1995,4.8,8,1.66,5,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2347,Lasse Sobiech\Lasse-Sobiech,de GER,DF,Köln,de Bundesliga,28,1991,1.0,1,1.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2348,Marcel Sobottka\Marcel-Sobottka,de GER,MF,Düsseldorf,de Bundesliga,25,1994,7.8,8,1.03,5,1,0,1,1,1,0.13,0,0,0,1,0,0,Matches
2349,Rubén Sobrino\Ruben-Sobrino,es ESP,FWMF,Valencia,es La Liga,27,1992,1.9,6,3.18,4,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
2350,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,eng Premier League,21,1997,18.3,43,2.34,30,0,3,5,5,5,0.27,2,0,1,1,1,0,Matches
2351,Roberto Soldado\Roberto-Soldado,es ESP,FW,Granada,es La Liga,34,1985,26.1,41,1.57,33,0,0,0,8,6,0.23,5,0,0,0,1,0,Matches
2352,Carlos Soler\Carlos-Soler,es ESP,MF,Valencia,es La Liga,22,1997,23.0,33,1.44,25,3,0,1,4,6,0.26,3,0,0,0,3,0,Matches
2353,Oumar Solet\Oumar-Solet,fr FRA,DF,Lyon,fr Ligue 1,19,2000,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2354,Yann Sommer\Yann-Sommer,ch SUI,GK,M'gladbach,de Bundesliga,30,1988,34.0,1,0.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2355,Kévin Soni\Kevin-Soni,cm CMR,FW,Espanyol,es La Liga,21,1998,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2356,David Soria\David-Soria,es ESP,GK,Getafe,es La Liga,26,1993,38.0,5,0.13,2,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2357,Bruno Soriano\Bruno-Soriano,es ESP,MF,Villarreal,es La Liga,35,1984,2.9,2,0.68,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
2358,Juan Soriano\Juan-Soriano,es ESP,GK,Leganés,es La Liga,21,1997,11.0,1,0.09,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
2359,Roberto Soriano\Roberto-Soriano,it ITA,MF,Bologna,it Serie A,28,1991,26.4,93,3.61,78,0,5,2,7,10,0.39,6,0,0,0,3,1,Matches
2360,Riccardo Sottil\Riccardo-Sottil,it ITA,FWDF,Fiorentina,it Serie A,20,1999,5.4,18,3.31,11,0,2,2,3,3,0.55,2,0,0,1,0,0,Matches
2361,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,eng Premier League,24,1995,11.6,8,0.69,7,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches
2362,Adama Soumaoro\Adama-Soumaoro,fr FRA,DF,Lille,fr Ligue 1,27,1992,4.6,1,0.22,0,0,0,1,0,1,0.22,0,0,0,1,0,0,Matches
2363,Adama Soumaoro\Adama-Soumaoro,fr FRA,DF,Genoa,it Serie A,27,1992,7.1,1,0.14,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2364,Boubakary Soumaré\Boubakary-Soumare,fr FRA,MF,Lille,fr Ligue 1,20,1999,13.5,22,1.63,21,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
2365,Bryan Soumaré\Bryan-Soumare,fr FRA,MFFW,Dijon,fr Ligue 1,20,1999,4.3,11,2.58,6,3,2,0,0,0,0.00,0,0,0,0,0,0,Matches
2366,Arnaud Souquet\Arnaud-Souquet,fr FRA,DF,Montpellier,fr Ligue 1,27,1992,22.4,38,1.70,29,3,1,1,4,2,0.09,2,0,0,0,0,0,Matches
2367,Djibril Sow\Djibril-Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,22,1997,19.4,43,2.22,36,3,1,1,2,6,0.31,4,0,0,1,1,0,Matches
2368,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,eng Premier League,23,1996,33.7,13,0.39,10,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
2369,Nikolas Špalek\Nikolas-Spalek,sk SVK,MFFW,Brescia,it Serie A,22,1997,16.9,26,1.64,20,2,0,1,3,2,0.13,1,0,0,0,1,0,Matches
2370,Leonardo Spinazzola\Leonardo-Spinazzola,it ITA,DF,Roma,it Serie A,26,1993,17.2,56,3.36,47,2,5,1,0,4,0.24,3,0,0,0,0,1,Matches
2371,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,it Serie A,27,1992,4.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2372,Mattia Sprocati\Mattia-Sprocati,it ITA,FW,Parma,it Serie A,26,1992,6.6,16,2.44,9,0,0,2,5,0,0.00,0,0,0,0,0,0,Matches
2373,Bassem Srarfi\Bassem-Srarfi,tn TUN,FWDF,Nice,fr Ligue 1,22,1997,1.5,2,1.35,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2374,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,eng Premier League,25,1994,0.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2375,Dennis Srbeny\Dennis-Srbeny,de GER,FWMF,Paderborn 07,de Bundesliga,25,1994,12.4,25,2.01,17,0,3,1,4,3,0.24,1,0,2,0,0,0,Matches
2376,Jerry St. Juste\Jerry-St-Juste,nl NED,DF,Mainz 05,de Bundesliga,22,1996,23.5,9,0.38,7,0,0,2,0,1,0.04,0,0,0,1,0,0,Matches
2377,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,eng Premier League,23,1996,17.2,16,0.93,14,0,2,0,0,2,0.12,2,0,0,0,0,0,Matches
2378,Kostas Stafylidis\Kostas-Stafylidis,gr GRE,DF,Hoffenheim,de Bundesliga,25,1993,4.4,11,2.49,8,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
2379,Benjamin Stambouli\Benjamin-Stambouli,fr FRA,DF,Schalke 04,de Bundesliga,28,1990,9.0,2,0.22,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2380,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,eng Premier League,29,1989,7.9,23,2.91,12,7,2,2,0,4,0.51,1,0,1,2,0,0,Matches
2381,Niklas Stark\Niklas-Stark,de GER,DF,Hertha BSC,de Bundesliga,24,1995,19.2,11,0.57,9,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
2382,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,eng Premier League,26,1992,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2383,Renato Steffen\Renato-Steffen,ch SUI,MFFW,Wolfsburg,de Bundesliga,27,1991,17.6,45,2.56,37,1,3,1,3,8,0.45,6,0,2,0,0,0,Matches
2384,Zack Steffen\Zack-Steffen,us USA,GK,Düsseldorf,de Bundesliga,24,1995,17.0,5,0.29,3,2,0,0,0,1,0.06,0,1,0,0,0,0,Matches
2385,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,eng Premier League,30,1989,28.1,40,1.42,38,0,0,2,0,3,0.11,3,0,0,0,0,0,Matches
2386,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,eng Premier League,25,1994,27.2,15,0.55,13,1,1,0,0,3,0.11,3,0,0,0,0,0,Matches
2387,Mariusz Stępiński\Mariusz-Stepinski,pl POL,FW,Hellas Verona,it Serie A,24,1995,7.8,10,1.27,7,0,0,1,2,1,0.13,1,0,0,0,0,0,Matches
2388,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,eng Premier League,24,1994,29.5,116,3.94,82,1,10,12,11,11,0.37,5,0,0,3,3,0,Matches
2389,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,eng Premier League,29,1990,37.2,67,1.80,54,6,4,3,0,9,0.24,8,0,1,0,0,0,Matches
2390,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,eng Premier League,28,1991,13.1,33,2.52,27,0,5,1,0,2,0.15,2,0,0,0,0,0,Matches
2391,Lars Stindl\Lars-Stindl,de GER,MFFW,M'gladbach,de Bundesliga,30,1988,15.9,60,3.77,52,0,3,1,4,11,0.69,10,0,0,0,1,0,Matches
2392,Kevin Stöger\Kevin-Stoger,at AUT,MF,Düsseldorf,de Bundesliga,25,1993,14.1,51,3.62,32,9,3,2,5,6,0.43,5,0,0,1,0,0,Matches
2393,Vlatko Stojanovski\Vlatko-Stojanovski,mk MKD,FW,Nîmes,fr Ligue 1,22,1997,1.4,5,3.66,3,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
2394,John Stones\John-Stones,eng ENG,DF,Manchester City,eng Premier League,25,1994,12.5,11,0.88,11,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2395,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,24,1995,37.0,7,0.19,6,1,0,0,0,1,0.03,1,0,0,0,0,0,Matches
2396,Tobias Strobl\Tobias-Strobl,de GER,MFDF,M'gladbach,de Bundesliga,29,1990,6.8,5,0.73,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2397,Christian Strohdiek\Christian-Strohdiek,de GER,DF,Paderborn 07,de Bundesliga,31,1988,15.1,16,1.06,14,1,0,1,0,2,0.13,1,0,0,1,0,0,Matches
2398,Kevin Strootman\Kevin-Strootman,nl NED,MF,Marseille,fr Ligue 1,29,1990,15.7,29,1.84,27,1,0,1,0,5,0.32,5,0,0,0,0,0,Matches
2399,Jens Stryger Larsen\Jens-Stryger-Larsen,dk DEN,DF,Udinese,it Serie A,28,1991,30.0,51,1.70,47,2,2,0,0,4,0.13,4,0,0,0,0,0,Matches
2400,Stefano Sturaro\Stefano-Sturaro,it ITA,MF,Genoa,it Serie A,26,1993,13.9,28,2.01,15,2,2,4,5,4,0.29,2,0,0,0,2,0,Matches
2401,Damián Suárez\Damian-Suarez,uy URU,DF,Getafe,es La Liga,31,1988,28.8,75,2.60,41,22,5,2,5,9,0.31,7,0,1,1,0,0,Matches
2402,Denis Suárez\Denis-Suarez,es ESP,MFFW,Celta Vigo,es La Liga,25,1994,18.1,56,3.09,37,14,3,1,1,5,0.28,5,0,0,0,0,0,Matches
2403,Luis Suárez\Luis-Suarez,uy URU,FW,Barcelona,es La Liga,32,1987,22.2,73,3.29,51,0,13,6,3,17,0.77,13,0,2,1,1,0,Matches
2404,Mathías Suárez\Mathias-Suarez,uy URU,DF,Montpellier,fr Ligue 1,23,1996,0.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2405,Neven Subotić\Neven-Subotic,rs SRB,DF,Union Berlin,de Bundesliga,30,1988,21.8,12,0.55,11,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
2406,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,eng Premier League,23,1996,0.8,4,5.14,2,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
2407,Marek Suchý\Marek-Suchy,cz CZE,DF,Augsburg,de Bundesliga,31,1988,4.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2408,Niklas Süle\Niklas-Sule,de GER,DF,Bayern Munich,de Bundesliga,23,1995,7.1,7,0.98,7,0,0,0,0,2,0.28,2,0,0,0,0,0,Matches
2409,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,eng Premier League,30,1989,1.5,2,1.31,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2410,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Mallorca,es La Liga,30,1989,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2411,Stoppila Sunzu\Stoppila-Sunzu,zm ZAM,DF,Metz,fr Ligue 1,30,1989,15.0,3,0.20,2,0,0,1,0,1,0.07,0,0,0,1,0,0,Matches
2412,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,eng Premier League,32,1986,2.6,1,0.38,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2413,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,eng Premier League,21,1998,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2414,Suso\Suso,es ESP,FWMF,Sevilla,es La Liga,25,1993,8.7,34,3.90,21,4,6,1,2,4,0.46,2,1,1,0,0,0,Matches
2415,Suso\Suso,es ESP,FWMF,Milan,it Serie A,25,1993,15.1,73,4.83,56,7,6,2,2,5,0.33,4,0,1,0,0,0,Matches
2416,Bosko Sutalo\Bosko-Sutalo,hr CRO,DF,Atalanta,it Serie A,19,2000,3.1,2,0.77,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2417,Markus Suttner\Markus-Suttner,at AUT,DFMF,Düsseldorf,de Bundesliga,32,1987,14.9,31,2.08,21,6,0,3,1,4,0.27,3,1,0,0,0,0,Matches
2418,Mattias Svanberg\Mattias-Svanberg,se SWE,MF,Bologna,it Serie A,20,1999,10.9,33,3.12,23,2,1,3,4,3,0.28,2,0,0,1,0,0,Matches
2419,Issiaga Sylla\Issiaga-Sylla,gn GUI,DF,Toulouse,fr Ligue 1,25,1994,28.0,37,1.32,34,2,0,0,1,2,0.07,2,0,0,0,0,0,Matches
2420,Moussa Sylla\Moussa-Sylla,fr FRA,FW,Monaco,fr Ligue 1,19,1999,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2421,Eddy Sylvestre\Eddy-Sylvestre,fr FRA,MF,Nice,fr Ligue 1,19,1999,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2422,Ádám Szalai\Adam-Szalai,hu HUN,FW,Mainz 05,de Bundesliga,31,1987,12.7,33,2.59,24,0,3,3,2,6,0.47,4,0,0,1,0,1,Matches
2423,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,29,1990,28.0,3,0.11,2,1,0,0,0,1,0.04,1,0,0,0,0,0,Matches
2424,Andrea Tabanelli\Andrea-Tabanelli,it ITA,MF,Lecce,it Serie A,29,1990,10.7,12,1.12,9,2,0,0,1,1,0.09,1,0,0,0,0,0,Matches
2425,Tachi\Tachi,es ESP,DF,Alavés,es La Liga,21,1997,2.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2426,Panagiotis Tachtsidis\Panagiotis-Tachtsidis,gr GRE,MF,Lecce,it Serie A,28,1991,21.6,47,2.19,41,1,0,1,4,3,0.14,3,0,0,0,0,0,Matches
2427,Jonathan Tah\Jonathan-Tah,de GER,DF,Leverkusen,de Bundesliga,23,1996,23.2,13,0.56,11,1,0,0,0,3,0.13,2,0,0,0,0,1,Matches
2428,Flavien Tait\Flavien-Tait,fr FRA,MFFW,Rennes,fr Ligue 1,26,1993,9.8,37,3.76,28,0,5,1,3,4,0.41,4,0,0,0,0,0,Matches
2429,Mahdi Talal\Mahdi-Talal,fr FRA,FW,Amiens,fr Ligue 1,21,1997,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2430,Adrien Tameze\Adrien-Tameze,cm CMR,MF,Nice,fr Ligue 1,25,1994,5.8,9,1.56,9,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2431,Adrien Tameze\Adrien-Tameze,cm CMR,MF,Atalanta,it Serie A,25,1994,2.3,9,3.95,9,0,0,0,0,2,0.88,2,0,0,0,0,0,Matches
2432,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,eng Premier League,20,1999,5.8,2,0.34,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2433,Adil Taoui\Adil-Taoui,fr FRA,MF,Toulouse,fr Ligue 1,17,2001,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2434,Edmond Tapsoba\Edmond-Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,20,1999,11.8,5,0.43,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2435,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,eng Premier League,23,1995,25.5,54,2.12,46,6,0,1,1,4,0.16,3,0,0,1,0,0,Matches
2436,Rodrigo Tarín\Rodrigo-Tarin,es ESP,DF,Leganés,es La Liga,23,1996,10.6,2,0.19,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2437,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,eng Premier League,26,1992,38.0,26,0.68,22,0,0,4,0,7,0.18,5,0,0,2,0,0,Matches
2438,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Lyon,fr Ligue 1,33,1986,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2439,Júlio Tavares\Julio-Tavares,cv CPV,FW,Dijon,fr Ligue 1,30,1988,22.2,50,2.25,42,1,3,1,3,2,0.09,2,0,0,0,0,0,Matches
2440,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,eng Premier League,25,1993,21.6,21,0.97,19,0,0,0,2,1,0.05,1,0,0,0,0,0,Matches
2441,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,eng Premier League,30,1989,12.1,10,0.82,10,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
2442,Aurélien Tchouaméni\Aurelien-Tchouameni,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,12.3,14,1.14,12,0,0,1,1,2,0.16,1,0,0,0,1,0,Matches
2443,Aurélien Tchouaméni\Aurelien-Tchouameni,fr FRA,MF,Monaco,fr Ligue 1,19,2000,0.7,3,4.15,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
2444,Georg Teigl\Georg-Teigl,at AUT,DFMF,Augsburg,de Bundesliga,28,1991,1.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2445,Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,es La Liga,23,1996,16.1,25,1.55,20,2,1,0,2,1,0.06,1,0,0,0,0,0,Matches
2446,Bernard Tekpetey\Bernard-Tekpetey,gh GHA,FWMF,Düsseldorf,de Bundesliga,21,1997,5.0,14,2.81,9,1,1,0,3,1,0.20,1,0,0,0,0,0,Matches
2447,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,eng Premier League,20,1999,0.0,1,30.00,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
2448,Cristian Tello\Cristian-Tello,es ESP,MFFW,Betis,es La Liga,27,1991,8.7,20,2.29,16,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
2449,Lino Tempelmann\Lino-Tempelmann,de GER,MF,Freiburg,de Bundesliga,20,1999,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2450,Łukasz Teodorczyk\Lukasz-Teodorczyk,pl POL,FW,Udinese,it Serie A,28,1991,2.5,6,2.43,6,0,0,0,0,2,0.81,2,0,0,0,0,0,Matches
2451,Hidde ter Avest\Hidde-ter-Avest,nl NED,DF,Udinese,it Serie A,22,1997,7.5,13,1.99,12,1,0,0,0,1,0.15,1,0,0,0,0,0,Matches
2452,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,27,1992,36.0,6,0.17,5,1,0,0,0,2,0.06,1,1,0,0,0,0,Matches
2453,Simon Terodde\Simon-Terodde,de GER,FWMF,Köln,de Bundesliga,31,1988,9.0,14,1.55,11,0,1,1,1,3,0.33,3,0,0,0,0,0,Matches
2454,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,29,1990,5.9,1,0.20,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2455,Martin Terrier\Martin-Terrier,fr FRA,FWMF,Lyon,fr Ligue 1,22,1997,13.3,24,1.80,17,3,2,1,1,4,0.30,2,1,0,0,1,0,Matches
2456,Aleksa Terzić\Aleksa-Terzic,rs SRB,DF,Fiorentina,it Serie A,19,1999,0.1,,,,,,,,,,,,,,,,Matches
2457,Kenny Tete\Kenny-Tete,nl NED,DF,Lyon,fr Ligue 1,23,1995,11.9,29,2.43,26,1,1,0,1,2,0.17,2,0,0,0,0,0,Matches
2458,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,eng Premier League,33,1986,26.0,18,0.69,16,0,0,2,0,1,0.04,1,0,0,0,0,0,Matches
2459,Florian Thauvin\Florian-Thauvin,fr FRA,FW,Marseille,fr Ligue 1,26,1993,0.2,3,12.27,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
2460,Demba Thiam\Demba-Thiam,sn SEN,GK,SPAL,it Serie A,21,1998,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2461,Malick Thiaw\Malick-Thiaw,fi FIN,DF,Schalke 04,de Bundesliga,17,2001,0.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2462,Niclas Thiede\Niclas-Thiede,de GER,GK,Freiburg,de Bundesliga,20,1999,0.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2463,Jan Thielmann\Jan-Thielmann,de GER,FWMF,Köln,de Bundesliga,17,2002,6.2,4,0.65,4,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
2464,Sada Thioub\Sada-Thioub,sn SEN,MFFW,Angers,fr Ligue 1,24,1995,16.8,56,3.34,42,4,6,3,1,4,0.24,4,0,0,0,0,0,Matches
2465,Jordan Thomas\Jordan-Thomas,eng ENG,FW,Norwich City,eng Premier League,,,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2466,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,eng Premier League,,,3.0,15,5.06,15,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
2467,Romain Thomas\Romain-Thomas,fr FRA,DF,Angers,fr Ligue 1,31,1988,26.0,9,0.35,9,0,0,0,0,2,0.08,2,0,0,0,0,0,Matches
2468,Adrien Thomasson\Adrien-Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,25,1993,23.0,77,3.34,59,5,4,1,8,5,0.22,4,0,0,0,1,0,Matches
2469,Erik Thommy\Erik-Thommy,de GER,DFFW,Düsseldorf,de Bundesliga,24,1994,25.1,88,3.51,42,17,13,4,12,9,0.36,3,3,2,0,1,0,Matches
2470,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,eng Premier League,17,2002,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2471,Morten Thorsby\Morten-Thorsby,no NOR,MFDF,Sampdoria,it Serie A,23,1996,20.5,35,1.71,28,2,3,1,1,6,0.29,5,0,1,0,0,0,Matches
