,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,3,1,1,26,5,3,19.2,0.93,0.18,0.08,0.40,2.3,1.6,0.06,+0.7,+0.4,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,0,0,0,14,4,0,28.6,0.39,0.11,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,Matches
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,3,0,0,19,5,0,26.3,0.68,0.18,0.16,0.60,1.4,1.4,0.07,+1.6,+1.6,Matches
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,1,0,0,6,3,0,50.0,3.44,1.72,0.17,0.33,1.3,1.3,0.22,-0.3,-0.3,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,1,0,0,33,7,3,21.2,1.63,0.35,0.03,0.14,1.7,1.7,0.05,-0.7,-0.7,Matches
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,0,0,0,5,0,0,0.0,0.72,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2,0,0,7,4,0,57.1,0.37,0.21,0.29,0.50,1.4,1.4,0.20,+0.6,+0.6,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,15,0,0,88,35,0,39.8,3.58,1.42,0.17,0.43,15.3,15.3,0.17,-0.3,-0.3,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,0,0,0,5,2,0,40.0,0.68,0.27,0.00,0.00,0.4,0.4,0.08,-0.4,-0.4,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,33.5,2,0,0,15,6,0,40.0,0.45,0.18,0.13,0.33,2.0,2.0,0.13,0.0,0.0,Matches
11,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,4,0,0,37,9,0,24.3,3.00,0.73,0.11,0.44,4.2,4.2,0.11,-0.2,-0.2,Matches
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,1999,10.6,0,0,0,7,1,0,14.3,0.66,0.09,0.00,0.00,0.5,0.5,0.07,-0.5,-0.5,Matches
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,5,0,0,20,10,0,50.0,2.41,1.21,0.25,0.50,4.2,4.2,0.21,+0.8,+0.8,Matches
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.0,1,0,0,4,3,0,75.0,2.03,1.53,0.25,0.33,1.4,1.4,0.36,-0.4,-0.4,Matches
16,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0,0,0,3,1,0,33.3,1.17,0.39,0.00,0.00,0.6,0.6,0.19,-0.6,-0.6,Matches
17,Amine Adli\Amine-Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
18,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,11.3,3,0,0,18,6,1,33.3,1.59,0.53,0.17,0.50,0.9,0.9,0.05,+2.1,+2.1,Matches
19,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
20,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,1,0,1,6,3,0,50.0,2.60,1.30,0.17,0.33,1.3,0.6,0.09,-0.3,+0.4,Matches
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1,0,0,14,2,0,14.3,0.70,0.10,0.07,0.50,0.3,0.3,0.02,+0.7,+0.7,Matches
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1,0,0,3,1,0,33.3,0.13,0.04,0.33,1.00,0.9,0.9,0.28,+0.1,+0.1,Matches
23,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
24,Kevin Agudelo\Kevin-Agudelo,co COL,FWDF,Fiorentina,it Serie A,20,1998,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
25,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,1,0,0,10,2,0,20.0,1.35,0.27,0.10,0.50,1.0,1.0,0.10,0.0,0.0,Matches
26,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,1,0,0,5,1,1,20.0,0.47,0.09,0.20,1.00,0.7,0.7,0.14,+0.3,+0.3,Matches
27,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,16,2,3,73,25,0,34.2,4.52,1.55,0.19,0.56,14.2,11.9,0.16,+1.8,+2.1,Matches
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,0,0,0,7,3,0,42.9,0.59,0.25,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,1,0,0,10,4,0,40.0,1.43,0.57,0.10,0.25,0.9,0.9,0.09,+0.1,+0.1,Matches
31,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,0,0,0,10,1,0,10.0,0.36,0.04,0.00,0.00,0.9,0.9,0.09,-0.9,-0.9,Matches
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,1996,22.5,0,0,0,12,2,0,16.7,0.53,0.09,0.00,0.00,0.4,0.4,0.03,-0.4,-0.4,Matches
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,0,0,0,2,0,0,0.0,0.34,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,0,0,0,4,0,0,0.0,0.28,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,0,0,0,3,0,0,0.0,1.94,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,8,1,1,44,18,0,40.9,1.92,0.79,0.16,0.39,6.5,5.7,0.13,+1.5,+1.3,Matches
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,0,0,0,10,2,0,20.0,0.39,0.08,0.00,0.00,0.7,0.7,0.07,-0.7,-0.7,Matches
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,0,0,0,3,0,0,0.0,2.73,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
